Configuration,Model,Feature_Set,Feature_Count,N,MAE,RMSE,R2_Score,Runtime_sec,Delta_MAE_vs_Full,Delta_R2_vs_Full
Short-term Autoregressive (Lag 1-3h),LightGBM,Full feature set,47,26293,6.0629998442738025,9.489704338722563,0.8706217433353639,3.72,0.0,0.0
Short-term Autoregressive (Lag 1-3h),LightGBM,Without VPD,46,26293,6.090109155581318,9.548455291012047,0.8690148176016135,3.67,0.02710931130751515,-0.0016069257337504306
Short-term Autoregressive (Lag 1-3h),LightGBM,Without spatial lags,32,26293,6.12453197864411,9.483410520624737,0.8707933004581847,2.9,0.06153213437030747,0.00017155712282079794
Timeline (Lag 6h),LightGBM,Full feature set,49,26272,11.16663723088899,16.554317323267416,0.5949839259579824,3.63,0.0,0.0
Timeline (Lag 6h),LightGBM,Without VPD,48,26272,11.198464229410066,16.583151742448916,0.5935717778414689,3.02,0.03182699852107618,-0.0014121481165135785
Timeline (Lag 6h),LightGBM,Without spatial lags,34,26272,11.17368355439222,16.501076319790318,0.5975849135104604,2.69,0.007046323503230312,0.0026009875524779513
Timeline (Lag 12h),LightGBM,Full feature set,49,26271,11.741477573466328,16.83380157497907,0.5810352175021432,2.07,0.0,0.0
Timeline (Lag 12h),LightGBM,Without VPD,48,26271,11.708853013841379,16.779407711795923,0.5837383852373752,2.06,-0.032624559624949256,0.0027031677352320482
Timeline (Lag 12h),LightGBM,Without spatial lags,34,26271,11.79108248980517,16.828254935861764,0.5813112649052354,1.54,0.049604916338841676,0.00027604740309228326
Timeline (Lag 18h),LightGBM,Full feature set,49,26260,13.754757721455285,19.735494219208395,0.43555542664175007,2.21,0.0,0.0
Timeline (Lag 18h),LightGBM,Without VPD,48,26260,13.742053096734042,19.704096780484942,0.4373499615588303,2.17,-0.012704624721243007,0.0017945349170802594
Timeline (Lag 18h),LightGBM,Without spatial lags,34,26260,13.758316243881847,19.731720344864993,0.4357712752244288,1.68,0.003558522426562405,0.00021584858267875706
Long-term Forecasting (Lag 24h),LightGBM,Full feature set,49,26224,13.582801447783167,19.334904197388852,0.4629195471214397,1.58,0.0,0.0
Long-term Forecasting (Lag 24h),LightGBM,Without VPD,48,26224,13.611289073598428,19.316156649270532,0.46396057220203357,2.0,0.028487625815261097,0.0010410250805938936
Long-term Forecasting (Lag 24h),LightGBM,Without spatial lags,34,26224,13.554182897615322,19.187745187229645,0.47106393227047405,1.3,-0.028618550167845314,0.008144385149034372
