Configuration,Model,N,MAE,RMSE,R2_Score,Runtime_sec
Short-term Autoregressive (Lag 1-3h),XGBoost,26293,5.832116290827674,9.471894582889972,0.871106907653581,3.62
Short-term Autoregressive (Lag 1-3h),LightGBM,26293,6.0629998442738025,9.489704338722563,0.8706217433353639,3.81
Short-term Autoregressive (Lag 1-3h),Linear Ridge,26293,6.32484117618254,9.669691320344926,0.8656674829168826,0.07
Short-term Autoregressive (Lag 1-3h),CatBoost,26293,6.2372983328236895,9.998875121125263,0.8563656808515798,24.19
Short-term Autoregressive (Lag 1-3h),Persistence,26293,6.506849162014017,10.048007396455366,0.8549506377988265,0.0
Short-term Autoregressive (Lag 1-3h),Random Forest,26293,6.605176000888814,10.122667160306579,0.8527871075797396,34.58
Short-term Autoregressive (Lag 1-3h),Climatology,26293,19.36405110506057,27.066211557764014,-0.052472787131760734,0.0
Long-term Forecasting (Lag 24h),XGBoost,26224,13.636565186064658,19.300712747883413,0.4648173917785666,1.82
Long-term Forecasting (Lag 24h),LightGBM,26224,13.582801447783167,19.334904197388852,0.4629195471214397,1.92
Long-term Forecasting (Lag 24h),Linear Ridge,26224,13.517917331046302,19.386067137060973,0.4600734020654411,0.06
Long-term Forecasting (Lag 24h),Random Forest,26224,13.966531701425078,19.780561922849948,0.43787545764784597,35.56
Long-term Forecasting (Lag 24h),CatBoost,26224,13.637608825664673,20.240414153658975,0.4114354685620488,22.81
Long-term Forecasting (Lag 24h),Persistence,26224,16.349473362498884,23.140110517508223,0.2307169650220554,0.0
Long-term Forecasting (Lag 24h),Climatology,26224,20.124986315086435,28.062781573567115,-0.13140144558346245,0.0
