Configuration,Model,Scenario,Scenario_Status,N,MAE,RMSE,R2_Score
Short-term Autoregressive (Lag 1-3h),Linear Ridge,Full Test Year 2025,Available,26297,6.3330430214157225,9.725829510834712,0.8650971593228816
Short-term Autoregressive (Lag 1-3h),Linear Ridge,Non-Event Baseline (AQI <= 100),Available,24806,5.60175197350593,7.995751886930407,0.8293729971839245
Short-term Autoregressive (Lag 1-3h),Linear Ridge,January 2025 Stress-Test Window,Available,1799,9.358467270044738,14.815077692184936,0.8429806791852155
Short-term Autoregressive (Lag 1-3h),Linear Ridge,Extreme AQI in Test 2025 (Top 5%),Available,1325,19.474572385351422,25.638593233394722,0.17145768494560376
Short-term Autoregressive (Lag 1-3h),Linear Ridge,Wildfire Season 2025 (Jul-Sep),Available,6624,6.124991409950715,10.292576296134296,0.8538814942579767
Short-term Autoregressive (Lag 1-3h),Linear Ridge,Source: EPA AQS,Unavailable in test split,0,,,
Short-term Autoregressive (Lag 1-3h),Linear Ridge,Source: Open-Meteo,Unavailable in test split,0,,,
Short-term Autoregressive (Lag 1-3h),Random Forest,Full Test Year 2025,Available,26297,6.609599981555988,10.153400291149724,0.8529751290942937
Short-term Autoregressive (Lag 1-3h),Random Forest,Non-Event Baseline (AQI <= 100),Available,24806,5.86522347518477,8.338134573578165,0.8144474427874924
Short-term Autoregressive (Lag 1-3h),Random Forest,January 2025 Stress-Test Window,Available,1799,10.04354866817025,16.7173899599758,0.8000680626952895
Short-term Autoregressive (Lag 1-3h),Random Forest,Extreme AQI in Test 2025 (Top 5%),Available,1325,19.960435716036418,26.835295147951523,0.09230684240620135
Short-term Autoregressive (Lag 1-3h),Random Forest,Wildfire Season 2025 (Jul-Sep),Available,6624,6.2887435961354505,10.297115402906721,0.8537525870284212
Short-term Autoregressive (Lag 1-3h),Random Forest,Source: EPA AQS,Unavailable in test split,0,,,
Short-term Autoregressive (Lag 1-3h),Random Forest,Source: Open-Meteo,Unavailable in test split,0,,,
Short-term Autoregressive (Lag 1-3h),LightGBM,Full Test Year 2025,Available,26297,6.07783003726424,9.566454676340118,0.8694821753763529
Short-term Autoregressive (Lag 1-3h),LightGBM,Non-Event Baseline (AQI <= 100),Available,24806,5.426505714173677,7.733185466752712,0.8403951825225803
Short-term Autoregressive (Lag 1-3h),LightGBM,January 2025 Stress-Test Window,Available,1799,9.304918156709203,16.774535675054157,0.7986988559890262
Short-term Autoregressive (Lag 1-3h),LightGBM,Extreme AQI in Test 2025 (Top 5%),Available,1325,17.852464185549668,26.022400718946937,0.14646559889228228
Short-term Autoregressive (Lag 1-3h),LightGBM,Wildfire Season 2025 (Jul-Sep),Available,6624,6.2309957813427195,10.470142785464414,0.8487963618147172
Short-term Autoregressive (Lag 1-3h),LightGBM,Source: EPA AQS,Unavailable in test split,0,,,
Short-term Autoregressive (Lag 1-3h),LightGBM,Source: Open-Meteo,Unavailable in test split,0,,,
Short-term Autoregressive (Lag 1-3h),CatBoost,Full Test Year 2025,Available,26297,6.255573047150334,10.08725525897441,0.8548844969038807
Short-term Autoregressive (Lag 1-3h),CatBoost,Non-Event Baseline (AQI <= 100),Available,24806,5.455058403296475,7.9473573542118165,0.8314321968842985
Short-term Autoregressive (Lag 1-3h),CatBoost,January 2025 Stress-Test Window,Available,1799,10.157825552104358,18.09170719029005,0.7658445188770734
Short-term Autoregressive (Lag 1-3h),CatBoost,Extreme AQI in Test 2025 (Top 5%),Available,1325,20.64811282367365,28.5200018756884,-0.025239685322790084
Short-term Autoregressive (Lag 1-3h),CatBoost,Wildfire Season 2025 (Jul-Sep),Available,6624,5.995276816342363,10.411684317677643,0.850480093776681
