,count,unique,top,freq,mean,min,25%,50%,75%,max,std
time,181201,,,,2022-10-09 11:26:18.130363,2018-01-01 12:00:00,2020-09-17 02:00:00,2023-07-13 02:00:00,2024-07-26 00:00:00,2025-12-31 23:00:00,
source,181201,2,epa_aqs_station,102289,,,,,,,
station_id,181201,5,FRES,51615,,,,,,,
station_name,181201,5,Fresno - Garland,51615,,,,,,,
lat,181201.0,,,,35.697497102073804,34.066429,34.066429,36.70000457763672,36.78538,37.30000305175781,1.4036599210040062
lon,181201.0,,,,-119.4249825137451,-121.89999389648438,-119.8000030517578,-119.77321,-118.226755,-118.1999969482422,1.250419242250314
pm25_ug_m3,181201.0,,,,13.814803687791484,0.0,6.9,11.0,17.0,328.8,11.723544310226368
pm10_ug_m3,181123.0,,,,27.751073968751083,0.0,13.4,22.3,35.0,863.0,23.60251737374848
target_aqi,181200.0,,,,54.78855058757492,0.0,38.333333333333336,54.53992395437263,65.71863117870723,459.3633633633634,26.19208709049871
target_type,181201,1,pm25_proxy,181201,,,,,,,
us_aqi_official,78912.0,,,,53.612095033543696,11.421614,36.840282,48.9236185,63.42198,265.15842,23.94411477620546
temperature_2m,181201.0,,,,17.781168978096147,-2.6,11.95,16.65,22.8,47.7,8.095887306477161
relative_humidity_2m,181201.0,,,,60.26520817389859,3.0,40.0,63.0,82.229774,100.0,25.17213325283215
rain,181201.0,,,,0.05922539059160822,0.0,0.0,0.0,0.0,18.9,0.4268330220416207
cloud_cover,181201.0,,,,36.659593490102154,0.0,0.0,9.0,91.0,100.0,42.380576078302525
wind_speed_10m,181201.0,,,,8.167414162323718,0.0,4.3,7.2,10.97262,45.572357,5.164502159976979
wind_direction_10m,181201.0,,,,208.30613913004174,0.8425087,120.256355,220.60121,310.0,360.0,103.35663275996266
surface_pressure,181201.0,,,,1005.1755763368855,983.7,1001.2167,1004.4576,1008.7,1030.1165,5.434396784414323
hour,181201.0,,,,11.495985121494915,0.0,6.0,11.0,17.0,23.0,6.915453361431007
dayofweek,181201.0,,,,2.985645774581818,0.0,1.0,3.0,5.0,6.0,1.996945328199362
month,181201.0,,,,6.701960805955817,1.0,4.0,7.0,10.0,12.0,3.4868322098163893
year,181201.0,,,,2022.2560361145909,2018.0,2020.0,2023.0,2024.0,2025.0,2.269187819059041
