,target_aqi,pm25_ug_m3,pm10_ug_m3,temperature_2m,relative_humidity_2m,rain,cloud_cover,wind_speed_10m,wind_direction_10m,surface_pressure,hour,dayofweek,month,year,lat,lon,us_aqi_official
target_aqi,1.0,0.9474,0.6467,-0.0174,0.0821,-0.1266,-0.0313,-0.3124,-0.1983,0.0187,-0.0152,0.0237,0.1338,-0.0299,-0.2383,0.2508,0.6382
pm25_ug_m3,0.9474,1.0,0.6744,-0.0335,0.0744,-0.089,-0.0138,-0.2535,-0.169,0.0141,-0.0114,0.0199,0.1178,-0.0419,-0.1899,0.2138,0.6344
pm10_ug_m3,0.6467,0.6744,1.0,0.1722,-0.2179,-0.1036,-0.1307,-0.092,-0.0452,-0.1775,0.0016,-0.0031,0.1783,-0.2819,-0.0826,0.1946,0.6103
temperature_2m,-0.0174,-0.0335,0.1722,1.0,-0.7422,-0.0868,-0.318,0.2377,0.359,-0.5059,0.1349,0.005,0.1919,-0.0372,-0.0037,0.0538,0.1865
relative_humidity_2m,0.0821,0.0744,-0.2179,-0.7422,1.0,0.1406,0.3791,-0.2672,-0.3272,0.2817,-0.1636,0.0074,-0.1141,0.081,-0.1273,0.0277,-0.0886
rain,-0.1266,-0.089,-0.1036,-0.0868,0.1406,1.0,0.1908,0.1512,-0.0817,-0.0657,0.0053,-0.0071,-0.0494,0.0182,-0.0072,-0.0024,-0.0614
cloud_cover,-0.0313,-0.0138,-0.1307,-0.318,0.3791,0.1908,1.0,-0.0641,-0.1907,0.1377,0.0493,0.0086,-0.0929,0.0186,-0.0234,-0.0182,-0.0508
wind_speed_10m,-0.3124,-0.2535,-0.092,0.2377,-0.2672,0.1512,-0.0641,1.0,0.2731,-0.2645,-0.0138,-0.0151,-0.1181,-0.0865,0.0587,-0.0255,-0.104
wind_direction_10m,-0.1983,-0.169,-0.0452,0.359,-0.3272,-0.0817,-0.1907,0.2731,1.0,-0.1043,-0.0044,-0.0008,0.0047,0.0227,0.3352,-0.2822,-0.1092
surface_pressure,0.0187,0.0141,-0.1775,-0.5059,0.2817,-0.0657,0.1377,-0.2645,-0.1043,1.0,0.0644,0.0111,-0.0978,0.2,0.246,-0.4377,-0.2722
hour,-0.0152,-0.0114,0.0016,0.1349,-0.1636,0.0053,0.0493,-0.0138,-0.0044,0.0644,1.0,-0.0029,0.0012,-0.0009,0.0007,-0.0006,-0.1272
dayofweek,0.0237,0.0199,-0.0031,0.005,0.0074,-0.0071,0.0086,-0.0151,-0.0008,0.0111,-0.0029,1.0,0.0053,0.0008,0.0012,-0.002,0.0249
month,0.1338,0.1178,0.1783,0.1919,-0.1141,-0.0494,-0.0929,-0.1181,0.0047,-0.0978,0.0012,0.0053,1.0,-0.0175,-0.0132,0.0196,0.0602
year,-0.0299,-0.0419,-0.2819,-0.0372,0.081,0.0182,0.0186,-0.0865,0.0227,0.2,-0.0009,0.0008,-0.0175,1.0,0.1467,-0.26,0.1079
lat,-0.2383,-0.1899,-0.0826,-0.0037,-0.1273,-0.0072,-0.0234,0.0587,0.3352,0.246,0.0007,0.0012,-0.0132,0.1467,1.0,-0.8939,-0.4876
lon,0.2508,0.2138,0.1946,0.0538,0.0277,-0.0024,-0.0182,-0.0255,-0.2822,-0.4377,-0.0006,-0.002,0.0196,-0.26,-0.8939,1.0,0.4921
us_aqi_official,0.6382,0.6344,0.6103,0.1865,-0.0886,-0.0614,-0.0508,-0.104,-0.1092,-0.2722,-0.1272,0.0249,0.0602,0.1079,-0.4876,0.4921,1.0
