latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,station_id,station_name,location_slug,source_air_quality,source_weather,period_start,period_end
36.70000457763672,-119.80000305175781,91.0,0,,,FRES_OPENMETEO,Fresno - Open-Meteo,fresno_ca,https://air-quality-api.open-meteo.com/v1/air-quality,https://archive-api.open-meteo.com/v1/archive,2025-10-01,2025-10-31
time,pm10_ug_m3,pm2_5_ug_m3,carbon_monoxide_ug_m3,carbon_dioxide_ppm,nitrogen_dioxide_ug_m3,sulphur_dioxide_ug_m3,ozone_ug_m3,us_aqi,temperature_2m,rain,cloud_cover,wind_speed_10m,wind_direction_10m,relative_humidity_2m,surface_pressure
2025-10-01T00:00,10.4,5.8,142.0,440.0,1.7,0.6,97.0,43.54166,28.0,0.0,17.0,2.4482646,252.89719,30.585026,1003.00256
2025-10-01T01:00,9.8,5.7,174.0,443.0,9.1,0.8,87.0,45.0487,27.65,0.0,15.0,3.362677,285.52417,29.075674,1002.79266
2025-10-01T02:00,11.4,7.7,218.0,447.0,19.3,1.0,73.0,45.5705,27.0,0.0,1.0,5.1165614,320.7106,28.995153,1002.869
2025-10-01T03:00,13.3,9.8,240.0,449.0,27.8,1.2,60.0,44.179035,26.4,0.0,1.0,6.0908127,341.02948,29.227247,1003.24445
2025-10-01T04:00,14.3,11.2,218.0,447.0,32.8,1.4,50.0,41.685993,25.5,0.0,0.0,5.1826253,20.323217,30.932476,1003.4109
2025-10-01T05:00,16.6,12.6,174.0,442.0,36.1,1.5,42.0,39.774303,24.25,0.0,1.0,5.9427266,305.13428,33.672016,1004.0598
2025-10-01T06:00,18.3,13.0,141.0,439.0,37.8,1.6,35.0,39.791664,21.55,0.0,0.0,12.535549,302.09256,50.713802,1004.6563
2025-10-01T07:00,19.4,13.1,133.0,439.0,37.6,1.6,30.0,39.930553,20.5,0.0,4.0,9.187056,325.37576,57.03557,1004.71783
2025-10-01T08:00,20.8,14.3,137.0,441.0,35.9,1.5,26.0,40.190975,20.05,0.0,0.0,8.225035,336.8014,58.450233,1004.8003
2025-10-01T09:00,21.0,15.5,140.0,442.0,33.8,1.4,23.0,40.76389,19.6,0.0,0.0,8.626865,336.6444,59.707996,1004.78394
2025-10-01T10:00,20.1,15.5,138.0,443.0,31.4,1.2,19.0,41.59722,19.2,0.0,0.0,7.458606,340.25308,61.617737,1004.67053
2025-10-01T11:00,19.3,15.4,136.0,443.0,28.6,1.0,15.0,42.447914,18.9,0.0,2.0,6.151683,339.44388,63.197136,1004.7583
2025-10-01T12:00,15.5,14.4,139.0,444.0,25.2,1.2,18.0,43.194447,18.4,0.0,2.0,5.2323985,333.43503,65.20489,1005.3337
2025-10-01T13:00,15.0,13.9,153.0,445.0,24.9,1.2,17.0,44.0625,17.6,0.0,2.0,2.7475805,301.60745,68.79446,1005.4034
2025-10-01T14:00,14.9,13.9,171.0,447.0,24.3,1.2,16.0,44.75694,17.45,0.0,2.0,4.0449963,290.85452,69.4486,1005.8924
2025-10-01T15:00,16.4,15.5,184.0,448.0,22.2,1.3,21.0,45.243057,18.0,0.0,2.0,3.550155,329.53452,67.08359,1006.1108
2025-10-01T16:00,14.6,12.7,186.0,448.0,17.2,1.7,37.0,45.833336,19.55,0.0,2.0,3.84796,10.784258,60.690002,1006.4641
2025-10-01T17:00,13.0,8.5,183.0,448.0,10.8,2.1,59.0,46.00694,21.75,0.0,1.0,2.8460495,55.304783,51.785904,1006.3458
2025-10-01T18:00,13.0,7.7,177.0,447.0,5.7,2.4,78.0,45.625,22.85,0.0,2.0,1.1384199,288.43503,49.07819,1006.38525
