latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,station_id,station_name,location_slug,source_air_quality,source_weather,period_start,period_end
34.099998474121094,-118.19999694824219,91.0,0,,,LA_OPENMETEO,Los Angeles - Open-Meteo,los_angeles_ca,https://air-quality-api.open-meteo.com/v1/air-quality,https://archive-api.open-meteo.com/v1/archive,2023-12-01,2023-12-31
time,pm10_ug_m3,pm2_5_ug_m3,carbon_monoxide_ug_m3,carbon_dioxide_ppm,nitrogen_dioxide_ug_m3,sulphur_dioxide_ug_m3,ozone_ug_m3,us_aqi,temperature_2m,rain,cloud_cover,wind_speed_10m,wind_direction_10m,relative_humidity_2m,surface_pressure
2023-12-01T00:00,6.0,3.8,180.0,,16.4,5.5,61.0,41.250004,16.45,0.0,42.0,18.720001,247.3801,71.1144,1001.00757
2023-12-01T01:00,9.2,6.1,241.0,,30.7,5.9,44.0,40.868057,16.0,0.0,16.0,9.9571085,257.4712,68.7017,1001.18884
2023-12-01T02:00,15.7,10.8,328.0,,50.3,6.5,20.0,41.024307,15.3,0.0,20.0,6.830519,251.56496,73.05822,1001.65735
2023-12-01T03:00,19.3,13.3,420.0,,64.5,7.6,2.0,41.857643,14.85,0.0,5.0,2.0991426,300.96368,76.71958,1002.0362
2023-12-01T04:00,22.1,15.3,521.0,,68.2,9.7,0.0,43.02084,14.25,0.0,2.0,2.2768397,71.564964,79.22098,1002.5085
2023-12-01T05:00,30.7,21.3,627.0,,66.6,12.2,0.0,44.270836,12.15,0.0,3.0,8.217153,61.189304,86.12963,1002.7252
2023-12-01T06:00,39.0,27.1,701.0,,64.3,13.7,0.0,46.44098,10.9,0.0,8.0,7.7043357,52.594578,85.71189,1003.07306
2023-12-01T07:00,41.1,28.6,725.0,,62.8,13.5,0.0,49.826397,9.8,0.0,62.0,5.904439,37.568665,83.85959,1003.3273
2023-12-01T08:00,40.5,28.2,716.0,,60.6,12.3,0.0,51.84398,10.1,0.0,30.0,4.829907,26.564985,74.90472,1003.43787
2023-12-01T09:00,38.6,26.9,690.0,,58.2,10.8,0.0,53.599293,9.05,0.0,6.0,6.9527545,21.25058,73.42998,1003.29803
2023-12-01T10:00,34.6,24.0,640.0,,55.8,8.9,0.0,55.115253,8.45,0.0,2.0,8.759178,350.53775,68.08792,1003.1755
2023-12-01T11:00,29.0,20.2,572.0,,53.2,6.6,0.0,56.285465,8.8,0.0,23.0,11.726277,342.12122,61.930954,1003.3871
2023-12-01T12:00,24.4,16.9,591.0,,43.5,5.0,0.0,57.030148,9.8,0.0,23.0,16.279802,341.9656,56.673237,1003.42615
2023-12-01T13:00,20.8,14.4,596.0,,42.1,4.8,0.0,57.650715,11.95,0.0,34.0,22.86496,326.56012,54.855022,1003.4101
2023-12-01T14:00,19.4,13.4,598.0,,40.1,4.7,0.0,57.943268,11.1,0.0,66.0,20.111729,315.72513,60.53258,1003.77325
2023-12-01T15:00,22.8,15.7,566.0,,37.3,4.8,2.0,57.863472,10.45,0.0,83.0,16.375053,326.65927,61.017746,1004.53937
2023-12-01T16:00,29.3,20.4,467.0,,33.7,5.6,17.0,57.437943,12.2,0.0,85.0,14.693999,329.03632,52.08256,1005.2004
2023-12-01T17:00,22.5,14.9,335.0,,29.3,6.8,38.0,57.03014,15.3,0.0,87.0,16.981165,327.99466,42.431705,1005.61456
2023-12-01T18:00,12.4,7.4,234.0,,24.5,7.3,56.0,57.27837,16.85,0.0,38.0,16.434305,331.1893,37.093292,1006.167
2023-12-01T19:00,9.5,5.6,197.0,,18.5,6.6,67.0,57.056736,18.4,0.0,1.0,14.654254,332.176,31.769468,1005.82837
2023-12-01T20:00,8.6,5.1,192.0,,12.2,5.3,74.0,56.72872,19.7,0.0,10.0,16.363178,320.35587,26.384575,1004.9856
2023-12-01T21:00,8.0,4.6,192.0,,7.9,4.2,78.0,56.462765,20.25,0.0,8.0,22.406927,316.30188,25.501116,1004.31287
2023-12-01T22:00,7.7,4.4,184.0,,5.9,3.7,81.0,56.196808,20.4,0.0,4.0,21.385939,323.9016,25.542492,1004.02136
2023-12-01T23:00,7.7,4.4,180.0,,6.0,3.4,81.0,55.90425,20.2,0.0,2.0,16.179987,327.72437,25.580044,1004.1131
2023-12-02T00:00,11.1,5.8,208.0,,11.5,3.9,74.0,55.74468,18.7,0.0,27.0,20.46941,325.75092,28.906427,1004.7511
2023-12-02T01:00,13.2,7.7,245.0,,22.1,3.8,58.0,55.92198,17.1,0.0,79.0,9.6932955,285.06854,30.605907,1005.08795
2023-12-02T02:00,14.4,8.9,300.0,,36.8,3.8,37.0,56.06383,15.9,0.0,80.0,12.496718,318.50363,33.883274,1005.63696
2023-12-02T03:00,15.2,9.7,359.0,,48.4,4.0,19.0,55.89539,14.65,0.0,96.0,13.584932,327.99466,38.899895,1006.3814
2023-12-02T04:00,17.5,11.5,430.0,,54.0,4.9,9.0,55.576237,12.8,0.0,7.0,9.83268,336.2505,44.344723,1006.60803
2023-12-02T05:00,21.0,14.0,505.0,,56.6,6.0,4.0,55.23936,11.15,0.0,0.0,8.28,360.0,50.151913,1007.5339
2023-12-02T06:00,25.4,17.2,558.0,,57.9,6.7,0.0,54.592197,9.85,0.0,16.0,7.7879906,33.6901,58.121464,1008.3735
2023-12-02T07:00,28.6,19.4,578.0,,58.3,6.6,0.0,53.71454,9.45,0.0,80.0,10.514218,38.047092,64.55339,1008.35803
2023-12-02T08:00,27.5,18.7,574.0,,57.3,6.0,0.0,52.898933,9.1,0.0,40.0,11.269782,26.564985,68.465004,1008.24524
2023-12-02T09:00,23.6,15.9,548.0,,55.4,5.4,0.0,52.05674,8.85,0.0,50.0,11.013882,11.3098955,63.733738,1008.3342
2023-12-02T10:00,19.5,13.0,485.0,,51.9,5.0,2.0,51.081554,8.15,0.0,16.0,9.746631,4.23632,62.667694,1008.9
2023-12-02T11:00,15.6,10.3,400.0,,47.4,4.6,4.0,50.106384,7.75,0.0,60.0,9.3669195,357.79745,62.348408,1009.18097
2023-12-02T12:00,11.9,8.0,328.0,,40.7,4.5,6.0,48.489574,7.7,0.0,11.0,8.427383,19.983198,62.78647,1009.27795
2023-12-02T13:00,10.2,6.8,332.0,,42.4,4.7,4.0,46.94444,9.65,0.0,4.0,12.387348,54.46224,64.82705,1009.2558
2023-12-02T14:00,10.2,6.9,337.0,,44.7,5.0,1.0,45.625,9.05,0.0,0.0,11.808878,52.431335,66.78508,1009.9247
2023-12-02T15:00,13.3,9.0,336.0,,45.6,5.9,3.0,44.496525,9.05,0.0,0.0,11.966954,43.7812,66.080666,1010.71594
2023-12-02T16:00,18.0,12.4,323.0,,44.3,7.9,14.0,43.33333,12.2,0.0,0.0,10.990322,58.392544,53.01384,1011.13544
2023-12-02T17:00,21.0,14.3,304.0,,41.6,10.5,31.0,41.944443,14.95,0.0,0.0,11.384199,71.564964,41.880573,1011.7348
2023-12-02T18:00,16.9,10.9,287.0,,38.8,12.8,45.0,41.84028,16.8,0.0,6.0,10.308831,102.09474,42.265877,1012.2001
2023-12-02T19:00,18.9,11.8,275.0,,35.5,14.4,54.0,42.447914,17.95,0.0,34.0,6.989936,124.50858,41.860054,1011.9462
2023-12-02T20:00,19.5,12.1,265.0,,32.1,15.7,61.0,43.524303,19.0,0.0,9.0,6.9153743,141.34016,39.332523,1011.2923
2023-12-02T21:00,20.4,12.7,258.0,,30.5,16.5,65.0,44.73958,19.8,0.0,26.0,8.707237,150.2552,38.882793,1010.23315
2023-12-02T22:00,20.7,12.9,248.0,,30.6,16.6,67.0,46.145832,20.05,0.0,41.0,10.00256,149.74365,42.897827,1009.5497
2023-12-02T23:00,20.8,12.8,241.0,,32.5,16.3,65.0,47.621525,19.8,0.0,86.0,9.449572,162.25523,47.602318,1009.6395
2023-12-03T00:00,18.7,10.5,251.0,,25.2,11.4,64.0,49.07986,18.85,0.0,98.0,10.8955765,172.40544,52.23866,1009.8024
2023-12-03T01:00,23.5,13.9,290.0,,35.8,11.2,50.0,49.895832,17.0,0.0,83.0,10.587917,197.81898,61.517082,1009.63544
2023-12-03T02:00,26.5,15.9,346.0,,50.6,11.1,30.0,50.496452,15.7,0.0,100.0,7.289444,249.77505,70.73615,1010.37805
2023-12-03T03:00,29.3,18.0,409.0,,62.4,11.4,14.0,51.11702,15.3,0.0,94.0,2.0991426,300.96368,75.02861,1010.75885
2023-12-03T04:00,34.1,21.5,480.0,,68.5,12.8,6.0,51.852833,14.45,0.0,100.0,3.6179552,84.2895,78.72496,1010.9247
2023-12-03T05:00,38.8,25.0,557.0,,71.7,14.7,2.0,52.739357,12.85,0.0,100.0,7.8954163,46.8476,82.81653,1011.3581
2023-12-03T06:00,45.1,29.6,629.0,,72.6,15.6,0.0,53.71454,11.8,0.0,78.0,7.7043357,37.405437,77.27219,1011.4167
2023-12-03T07:00,50.3,33.4,702.0,,71.0,14.6,0.0,54.81383,11.0,0.0,48.0,6.696387,36.253937,75.059265,1011.58344
2023-12-03T08:00,51.3,34.5,769.0,,67.2,12.4,0.0,56.054962,11.25,0.0,3.0,6.1094027,44.999897,69.86761,1011.5932
2023-12-03T09:00,47.3,31.9,798.0,,62.7,10.3,0.0,57.45567,11.6,0.0,30.0,5.692099,55.304783,68.50471,1011.40906
2023-12-03T10:00,40.3,27.3,757.0,,57.4,8.2,0.0,58.87411,12.65,0.0,21.0,4.6102495,51.34017,62.836617,1011.6472
2023-12-03T11:00,32.5,22.1,677.0,,51.4,6.1,0.0,60.141838,12.7,0.0,91.0,4.6102495,51.34017,62.199024,1011.2534
2023-12-03T12:00,28.9,19.6,639.0,,50.3,6.4,0.0,61.187943,11.2,0.0,91.0,5.1919937,56.309914,68.18556,1010.99774
2023-12-03T13:00,23.9,16.3,656.0,,47.4,5.7,0.0,62.216312,12.1,0.0,71.0,3.8268526,48.814175,55.67429,1011.23016
2023-12-03T14:00,22.2,15.3,675.0,,43.5,4.8,0.0,63.058506,8.15,0.0,48.0,10.365251,69.67678,77.225266,1011.47156
2023-12-03T15:00,26.6,18.5,660.0,,41.7,5.7,1.0,63.80319,7.85,0.0,43.0,7.7879906,56.3099,79.09227,1012.05286
2023-12-03T16:00,34.1,23.7,579.0,,43.9,9.9,9.0,64.64539,11.05,0.0,59.0,4.2136917,70.01681,64.23718,1012.4755
2023-12-03T17:00,30.7,20.7,465.0,,48.2,15.8,21.0,65.64716,13.0,0.0,39.0,5.95906,64.98315,60.150528,1012.94653
2023-12-03T18:00,31.5,20.6,376.0,,51.2,20.3,32.0,66.21454,15.25,0.0,43.0,5.95906,64.98315,49.349358,1013.0323
2023-12-03T19:00,34.8,22.8,341.0,,51.7,22.3,42.0,67.07446,16.9,0.0,44.0,2.2768397,71.564964,41.266804,1012.4018
2023-12-03T20:00,34.2,22.4,332.0,,50.9,22.8,51.0,68.049644,18.25,0.0,44.0,2.5959969,56.309914,35.690292,1011.3637
2023-12-03T21:00,32.7,21.5,326.0,,49.8,22.2,57.0,68.96277,19.6,0.0,56.0,3.319036,77.4712,30.334854,1010.6217
2023-12-03T22:00,30.2,19.7,308.0,,47.6,19.9,59.0,69.742905,20.35,0.0,61.0,1.484318,165.96373,28.958265,1010.05524
2023-12-03T23:00,27.2,17.8,292.0,,44.9,16.5,57.0,70.34575,19.75,0.0,48.0,6.9527545,248.74942,33.3172,1009.7365
2023-12-04T00:00,34.8,22.6,309.0,,47.1,18.1,56.0,70.78901,17.8,0.0,32.0,9.3669195,272.20255,43.60167,1009.76385
2023-12-04T01:00,34.6,22.6,336.0,,48.3,15.2,47.0,71.8617,16.3,0.0,43.0,10.009036,307.6943,49.982384,1009.80695
2023-12-04T02:00,32.5,21.0,377.0,,50.1,11.3,35.0,72.63297,15.25,0.0,100.0,7.8954163,313.1524,55.14013,1010.1633
2023-12-04T03:00,29.5,19.0,430.0,,51.9,8.5,24.0,73.085106,14.75,0.0,100.0,4.3349743,318.36655,57.533825,1010.24335
2023-12-04T04:00,30.3,19.8,504.0,,54.4,8.1,15.0,73.17376,14.55,0.0,99.0,3.219938,333.43503,57.682034,1010.1368
2023-12-04T05:00,35.2,23.6,592.0,,56.9,8.8,6.0,73.02305,15.2,0.0,99.0,2.4149535,26.564985,52.88853,1010.16144
2023-12-04T06:00,40.3,27.3,667.0,,57.5,9.1,0.0,72.89893,15.3,0.0,100.0,2.8116899,39.805527,49.5356,1010.36316
2023-12-04T07:00,43.4,29.7,730.0,,54.8,8.4,0.0,72.69504,15.5,0.0,100.0,3.096837,35.537766,46.080235,1010.4697
2023-12-04T08:00,42.5,29.2,782.0,,50.1,7.3,0.0,72.36702,15.55,0.0,100.0,3.6179552,5.7105074,44.34502,1010.3723
2023-12-04T09:00,38.3,26.4,796.0,,45.6,6.2,0.0,71.89716,15.65,0.0,100.0,4.0249224,10.304792,43.752285,1009.9804
2023-12-04T10:00,32.7,22.5,751.0,,41.5,5.0,0.0,71.40957,15.5,0.0,100.0,4.072935,44.999897,43.09554,1009.6782
2023-12-04T11:00,26.4,18.2,668.0,,37.5,3.8,0.0,70.98404,13.55,0.0,100.0,5.991594,57.264786,46.841663,1009.4066
2023-12-04T12:00,17.9,12.4,450.0,,36.9,4.4,2.0,70.6383,14.15,0.0,100.0,5.1165614,50.710617,43.63108,1009.03375
2023-12-04T13:00,15.0,10.4,433.0,,35.0,4.7,1.0,70.00001,12.9,0.0,100.0,6.725354,15.524177,57.667225,1008.49133
2023-12-04T14:00,14.1,9.7,410.0,,32.6,5.1,0.0,69.47695,11.5,0.0,100.0,8.714677,38.290207,60.629513,1008.43744
2023-12-04T15:00,16.1,11.1,395.0,,31.5,5.7,1.0,68.9805,11.6,0.0,100.0,7.42159,39.09386,58.35636,1008.73834
2023-12-04T16:00,20.3,14.1,402.0,,33.4,6.7,5.0,68.32447,13.4,0.0,100.0,5.1544156,12.094739,58.398197,1009.10406
2023-12-04T17:00,24.4,16.9,418.0,,36.7,7.9,11.0,67.47341,16.15,0.0,100.0,2.7416782,336.8014,40.04358,1009.4055
2023-12-04T18:00,23.4,16.0,415.0,,38.7,9.2,19.0,67.13653,18.35,0.0,98.0,3.096837,324.46225,33.625576,1009.4873
2023-12-04T19:00,22.2,15.1,371.0,,37.2,10.7,32.0,66.72872,20.65,0.0,27.0,3.319036,310.60123,28.631334,1008.78
2023-12-04T20:00,22.3,15.1,308.0,,34.4,12.3,46.0,66.046104,22.9,0.0,93.0,2.8799999,270.0,24.337452,1007.9702
2023-12-04T21:00,23.9,16.2,265.0,,34.2,13.1,55.0,65.39894,24.35,0.0,51.0,3.4152596,251.56496,21.670635,1007.23
2023-12-04T22:00,26.0,17.6,256.0,,39.0,12.8,54.0,64.92908,25.2,0.0,13.0,3.8268526,228.81418,20.08542,1006.86426
2023-12-04T23:00,27.4,18.5,268.0,,46.3,11.7,46.0,64.74291,25.2,0.0,7.0,5.6002855,224.9999,20.303698,1006.9632
2023-12-05T00:00,29.0,19.7,296.0,,51.9,11.2,39.0,64.80497,23.3,0.0,4.0,8.891343,238.24055,27.675695,1007.2917
2023-12-05T01:00,32.4,22.2,334.0,,56.6,9.6,27.0,64.547874,19.15,0.0,2.0,8.647496,272.3859,50.581936,1007.24115
2023-12-05T02:00,30.2,20.5,388.0,,62.8,7.5,12.0,64.51241,17.9,0.0,7.0,5.1919937,326.3099,64.88132,1007.69
2023-12-05T03:00,28.1,19.1,439.0,,66.0,6.1,0.0,64.46809,16.75,0.0,22.0,4.1046314,15.255177,63.344242,1007.944
2023-12-05T04:00,28.5,19.3,487.0,,63.6,6.4,0.0,64.47695,15.55,0.0,67.0,4.6102495,51.34017,60.14592,1008.4927
2023-12-05T05:00,30.2,20.5,532.0,,58.2,7.4,0.0,64.432625,15.05,0.0,82.0,6.9153743,51.34017,53.771862,1008.77075
2023-12-05T06:00,34.0,23.2,553.0,,53.0,8.0,0.0,64.15781,13.9,0.0,31.0,8.14587,44.999897,52.3577,1008.82635
2023-12-05T07:00,34.1,23.4,541.0,,49.0,7.6,0.0,63.794334,13.45,0.0,69.0,8.287822,34.3804,51.506905,1008.9082
2023-12-05T08:00,30.3,20.7,505.0,,45.1,6.7,1.0,63.23582,13.05,0.0,78.0,8.557102,22.249071,50.49771,1008.59595
