latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,location_name,source_air_quality,source_weather,period_start,period_end
37.30000305175781,-121.89999389648438,33.0,0,,,"Downtown San Jose, California",https://air-quality-api.open-meteo.com/v1/air-quality,https://archive-api.open-meteo.com/v1/archive,2024-12-01,2024-12-31
time,pm10_ug_m3,pm2_5_ug_m3,carbon_monoxide_ug_m3,carbon_dioxide_ppm,nitrogen_dioxide_ug_m3,sulphur_dioxide_ug_m3,ozone_ug_m3,us_aqi,temperature_2m,rain,cloud_cover,wind_speed_10m,wind_direction_10m,relative_humidity_2m,surface_pressure
2024-12-01T00:00,10.0,9.0,604.0,514.0,19.9,2.5,55.0,52.05674,13.75,0.0,96.0,7.127636,315.0001,77.31719,1015.00525
2024-12-01T01:00,14.2,13.0,756.0,535.0,31.2,2.9,39.0,52.27837,11.65,0.0,100.0,4.952453,250.9064,82.38959,1014.47797
2024-12-01T02:00,18.9,17.5,938.0,560.0,46.7,3.5,18.0,52.48227,11.0,0.0,94.0,1.7076298,251.56496,83.149666,1015.0663
2024-12-01T03:00,22.0,20.4,1037.0,575.0,57.7,3.9,2.0,52.71277,10.85,0.0,93.0,0.76367533,224.9999,82.849556,1015.363
2024-12-01T04:00,22.1,20.4,987.0,572.0,59.8,4.0,0.0,52.94326,10.1,0.0,95.0,1.1525624,231.34016,85.0467,1015.3525
2024-12-01T05:00,21.0,19.4,854.0,559.0,57.4,4.0,0.0,53.05851,10.05,0.0,69.0,2.9024127,277.1249,86.20751,1015.1523
2024-12-01T06:00,20.7,19.0,728.0,548.0,54.6,3.8,2.0,53.13829,9.05,0.0,100.0,2.5772078,257.90524,90.021194,1015.33716
2024-12-01T07:00,20.8,19.0,637.0,544.0,53.1,3.5,3.0,53.28901,8.95,0.0,100.0,0.56920993,71.564964,89.70675,1015.33594
2024-12-01T08:00,20.1,18.5,554.0,542.0,51.3,3.1,5.0,53.52837,8.9,0.0,36.0,0.8049845,63.435013,88.78733,1015.63403
2024-12-01T09:00,18.9,17.5,485.0,540.0,48.2,2.8,8.0,53.847515,8.75,0.0,37.0,1.9469976,33.6901,81.17166,1015.5322
2024-12-01T10:00,17.8,16.6,431.0,535.0,42.4,2.5,14.0,54.175533,8.75,0.0,86.0,2.0991426,329.03632,80.05456,1015.4326
2024-12-01T11:00,16.9,15.8,392.0,530.0,35.3,2.3,22.0,54.476948,8.75,0.0,100.0,1.0182338,44.999897,77.05227,1015.83105
2024-12-01T12:00,14.9,14.1,370.0,525.0,22.1,1.9,32.0,54.75177,8.95,0.0,100.0,0.8049845,296.56497,73.15551,1015.63477
2024-12-01T13:00,13.8,13.0,364.0,522.0,23.6,2.0,31.0,54.627655,9.45,0.0,100.0,3.244996,273.17978,89.74542,1015.5421
2024-12-01T14:00,13.2,12.5,375.0,520.0,25.6,2.1,29.0,54.476948,8.6,0.0,99.0,2.9024127,262.8751,92.79864,1016.2271
2024-12-01T15:00,13.6,12.9,413.0,520.0,26.5,2.2,29.0,54.29964,8.3,0.0,64.0,3.2846913,279.46225,92.14926,1016.6211
2024-12-01T16:00,14.2,13.5,507.0,527.0,25.6,2.3,31.0,54.069145,9.3,0.0,25.0,3.1072817,280.0079,89.1243,1016.93463
2024-12-01T17:00,11.9,11.4,629.0,536.0,23.5,2.5,36.0,53.78546,10.5,0.0,80.0,3.9966488,262.23492,86.54598,1017.4495
2024-12-01T18:00,9.9,9.4,700.0,539.0,21.0,2.6,42.0,53.475178,11.85,0.0,26.0,3.6402748,261.46933,83.53333,1017.4686
2024-12-01T19:00,7.5,7.0,668.0,528.0,17.2,2.6,54.0,53.33333,13.25,0.0,36.0,2.7059932,273.814,80.68084,1017.08997
2024-12-01T20:00,6.5,6.0,586.0,511.0,12.9,2.6,68.0,53.28901,15.0,0.0,18.0,2.0523157,285.25516,73.24854,1016.41693
2024-12-01T21:00,6.2,5.7,532.0,500.0,11.0,2.6,75.0,53.218086,16.45,0.0,61.0,6.050785,329.62094,67.88212,1015.83936
2024-12-01T22:00,6.1,5.5,534.0,501.0,12.3,2.6,71.0,53.173763,16.75,0.0,85.0,5.48631,318.991,65.49896,1015.84344
2024-12-01T23:00,6.8,6.1,564.0,508.0,16.0,2.5,60.0,53.129433,16.3,0.0,98.0,3.6,270.0,69.22142,1015.6378
2024-12-02T00:00,7.2,6.8,615.0,517.0,20.2,2.9,54.0,53.12057,15.4,0.0,88.0,2.7416782,246.80138,76.80678,1015.7254
2024-12-02T01:00,12.4,11.7,701.0,530.0,32.7,3.5,39.0,52.925533,14.15,0.0,3.0,1.2979984,303.6901,77.121574,1015.70795
2024-12-02T02:00,17.6,16.7,807.0,545.0,49.8,4.4,18.0,52.810287,13.4,0.0,90.0,1.659518,192.5288,76.74506,1015.8969
2024-12-02T03:00,22.2,21.2,881.0,557.0,61.8,5.1,2.0,52.739365,13.55,0.0,40.0,0.76367533,224.9999,75.48995,1016.3969
2024-12-02T04:00,25.4,24.3,904.0,564.0,64.1,5.5,0.0,52.810287,12.85,0.0,11.0,0.6489992,236.3099,76.65701,1016.68616
2024-12-02T05:00,26.7,25.6,894.0,568.0,61.4,5.6,0.0,53.15603,12.0,0.0,25.0,1.6981165,147.99466,79.96738,1016.6741
2024-12-02T06:00,26.6,25.4,851.0,567.0,58.0,5.5,0.0,53.705673,11.75,0.0,27.0,1.5273507,135.0001,79.12332,1016.77014
2024-12-02T07:00,25.7,24.6,756.0,558.0,55.0,5.0,2.0,54.273045,11.65,0.0,4.0,0.76367533,135.0001,77.776024,1016.76886
2024-12-02T08:00,24.1,23.1,628.0,543.0,51.4,4.2,4.0,54.769505,11.3,0.0,5.0,0.40249225,26.564985,78.520676,1016.963
2024-12-02T09:00,22.1,21.2,520.0,531.0,48.0,3.5,6.0,55.177307,10.95,0.0,63.0,0.35999998,90.0,79.546684,1016.95795
2024-12-02T10:00,20.1,19.3,451.0,522.0,45.1,3.0,7.0,55.505325,10.7,0.0,100.0,0.8049845,153.43501,78.69906,1017.0539
2024-12-02T11:00,18.1,17.4,402.0,516.0,42.5,2.5,8.0,55.744682,10.4,0.0,84.0,0.40249225,63.435013,79.195274,1017.34863
2024-12-02T12:00,15.0,14.5,371.0,512.0,46.0,2.8,10.0,55.886524,9.7,0.0,12.0,2.1674871,85.23644,78.278145,1017.1395
2024-12-02T13:00,13.6,13.3,358.0,513.0,45.2,2.7,9.0,55.92198,9.45,0.0,94.0,0.9178235,258.6901,79.32859,1016.9365
2024-12-02T14:00,12.8,12.5,363.0,516.0,43.9,2.6,9.0,55.948578,8.75,0.0,22.0,1.484318,284.03625,82.30252,1017.22546
2024-12-02T15:00,13.8,13.5,381.0,518.0,41.7,2.6,11.0,55.948578,8.65,0.0,0.0,0.40249225,296.56497,82.28971,1017.82153
2024-12-02T16:00,16.1,15.7,423.0,517.0,38.4,2.8,17.0,56.00177,9.4,0.0,0.0,1.1525624,231.34016,84.10056,1018.13104
2024-12-02T17:00,15.1,14.6,478.0,514.0,34.3,3.2,24.0,56.196808,10.75,0.0,7.0,1.781909,224.9999,80.88632,1018.2501
2024-12-02T18:00,11.3,10.8,511.0,511.0,29.8,3.6,34.0,56.480495,12.45,0.0,11.0,2.4216523,228.01286,78.16292,1018.37366
2024-12-02T19:00,7.5,7.1,498.0,507.0,23.7,3.9,48.0,56.60461,14.1,0.0,9.0,3.0547013,224.9999,74.076126,1017.89874
2024-12-02T20:00,7.1,6.7,462.0,503.0,17.1,4.3,63.0,56.613476,15.2,0.0,1.0,2.7416782,246.80138,69.69994,1017.11707
2024-12-02T21:00,7.1,6.8,435.0,500.0,14.5,4.6,71.0,56.675537,16.0,0.0,0.0,3.244996,250.55988,67.112656,1016.6299
2024-12-02T22:00,7.6,7.3,420.0,496.0,18.2,4.9,66.0,56.773056,16.5,0.0,0.0,4.1125174,246.80139,64.14296,1016.1388
2024-12-02T23:00,8.7,8.4,414.0,493.0,25.8,5.3,53.0,56.93263,16.25,0.0,0.0,4.514377,246.50142,62.385105,1016.1353
2024-12-03T00:00,8.4,8.1,440.0,495.0,25.3,5.4,48.0,57.136524,15.0,0.0,0.0,2.6999998,233.13002,71.07667,1016.31726
2024-12-03T01:00,12.3,11.9,540.0,509.0,35.6,5.8,34.0,57.251774,13.9,0.0,0.0,1.6981165,212.00534,70.866615,1016.10284
2024-12-03T02:00,18.0,17.3,672.0,529.0,49.6,6.4,16.0,57.2695,13.25,0.0,0.0,1.8532133,150.9455,71.465706,1016.29315
2024-12-03T03:00,22.8,22.0,733.0,539.0,59.4,6.9,2.0,57.322693,12.55,0.0,0.0,1.6981165,147.99466,72.80646,1016.3829
2024-12-03T04:00,25.8,24.7,656.0,531.0,61.1,7.1,0.0,57.393612,12.15,0.0,0.0,1.4399999,180.0,71.991554,1016.5766
2024-12-03T05:00,27.0,25.7,508.0,513.0,58.5,7.2,0.0,57.429077,11.6,0.0,0.0,2.1897945,189.46225,70.66331,1016.7679
2024-12-03T06:00,27.0,25.7,388.0,499.0,55.4,7.0,1.0,57.437943,11.05,0.0,0.0,2.968636,165.96373,67.21416,1016.76025
2024-12-03T07:00,26.4,25.1,338.0,493.0,52.6,6.6,3.0,57.46454,10.45,0.0,0.0,2.8460495,145.30478,64.77911,1016.652
2024-12-03T08:00,25.1,24.0,317.0,491.0,49.2,5.9,6.0,57.50887,9.75,0.0,0.0,3.1845248,137.29063,66.23409,1016.5426
2024-12-03T09:00,23.4,22.5,300.0,491.0,46.3,5.3,8.0,57.588654,8.95,0.0,0.0,3.710795,129.09386,70.88415,1016.2323
2024-12-03T10:00,21.4,20.6,274.0,492.0,44.3,4.8,9.0,57.7039,8.4,0.0,0.0,3.096837,125.537766,73.82819,1016.22437
2024-12-03T11:00,19.3,18.6,253.0,494.0,42.9,4.4,10.0,57.819153,7.85,0.0,0.0,3.06,118.072395,76.90694,1016.0172
2024-12-03T12:00,18.2,17.5,252.0,497.0,41.1,3.3,10.0,57.925533,7.3,0.0,0.0,3.148714,120.963684,79.84656,1015.6107
2024-12-03T13:00,16.0,15.3,287.0,501.0,41.1,3.1,9.0,58.19149,8.2,0.0,0.0,2.4482648,143.97253,68.27702,1015.6239
2024-12-03T14:00,14.3,13.7,343.0,507.0,41.1,2.9,9.0,58.368797,8.45,0.0,0.0,1.9386592,158.19853,65.94842,1015.92615
2024-12-03T15:00,14.6,14.0,390.0,509.0,40.3,2.9,10.0,58.475178,8.45,0.0,0.0,1.7727944,156.0375,64.78571,1016.4242
2024-12-03T16:00,16.2,15.6,427.0,507.0,38.7,3.3,14.0,58.51951,9.65,0.0,0.0,1.3708391,156.80138,64.82705,1016.8397
2024-12-03T17:00,14.5,14.0,456.0,503.0,36.3,3.9,21.0,58.510643,11.65,0.0,0.0,2.995797,212.73521,61.305904,1017.0676
2024-12-03T18:00,10.8,10.3,455.0,497.0,33.1,4.4,30.0,58.457447,13.15,0.0,0.0,2.4216523,221.98714,60.605194,1017.2879
2024-12-03T19:00,6.7,6.2,396.0,487.0,27.4,4.7,44.0,58.413116,14.35,0.0,0.0,2.0124612,243.43501,59.242332,1017.20496
2024-12-03T20:00,6.0,5.5,306.0,474.0,20.8,5.0,61.0,58.333336,15.5,0.0,0.0,2.0124612,259.69522,57.72143,1016.4241
2024-12-03T21:00,6.3,5.8,252.0,466.0,18.0,5.3,69.0,58.226955,16.4,0.0,0.0,3.189608,253.61038,58.339916,1015.83875
2024-12-03T22:00,7.1,6.6,254.0,464.0,21.5,5.7,63.0,58.138298,16.8,0.0,0.0,3.8773184,248.19853,59.434,1015.64484
2024-12-03T23:00,8.4,7.9,290.0,467.0,28.8,6.1,50.0,58.07624,16.7,0.0,0.0,3.7971041,238.57048,60.82948,1015.64325
2024-12-04T00:00,4.2,4.2,364.0,476.0,27.4,5.6,45.0,58.031918,15.45,0.0,0.0,2.5582807,230.71062,71.39993,1015.9253
2024-12-04T01:00,8.4,8.2,517.0,499.0,37.1,5.9,32.0,57.686172,14.25,0.0,0.0,1.484318,194.03627,68.11555,1015.70953
2024-12-04T02:00,14.2,13.9,708.0,528.0,50.3,6.4,14.0,57.35816,13.45,0.0,0.0,1.1525624,141.34016,70.063095,1016.0968
2024-12-04T03:00,19.0,18.5,813.0,546.0,59.2,6.7,1.0,57.056744,12.8,0.0,0.0,1.5379207,159.44388,71.86797,1016.5856
2024-12-04T04:00,22.1,21.3,754.0,544.0,59.9,6.8,0.0,56.74646,12.2,0.0,0.0,1.6299692,173.6599,72.49455,1016.8761
2024-12-04T05:00,23.5,22.6,609.0,530.0,56.4,6.8,0.0,56.445038,11.6,0.0,0.0,2.1674871,175.23645,72.38354,1017.2659
2024-12-04T06:00,24.1,23.2,488.0,518.0,52.6,6.6,1.0,56.17021,10.9,0.0,0.0,2.6758924,160.34608,72.253265,1017.6544
2024-12-04T07:00,23.7,22.9,432.0,511.0,49.6,6.0,2.0,55.948578,10.25,0.0,0.0,2.8174455,153.43501,73.13849,1017.8445
2024-12-04T08:00,22.5,21.7,399.0,505.0,46.2,5.3,3.0,55.753548,9.75,0.0,0.0,2.5772076,155.22488,74.326836,1018.0366
2024-12-04T09:00,20.7,20.1,374.0,500.0,43.3,4.6,5.0,55.549644,9.3,0.0,0.0,2.4149535,153.43501,75.02679,1017.93066
2024-12-04T10:00,19.0,18.5,347.0,497.0,40.9,4.1,7.0,55.33688,8.95,0.0,0.0,2.0523157,142.12495,75.22829,1017.92554
2024-12-04T11:00,17.3,16.8,327.0,495.0,39.0,3.8,9.0,55.15071,8.7,0.0,0.0,2.0364676,135.0001,75.44849,1018.0215
2024-12-04T12:00,15.7,15.3,325.0,495.0,39.6,3.3,10.0,54.99113,8.5,0.0,0.0,1.8,143.13002,75.67862,1017.91876
2024-12-04T13:00,14.4,14.0,348.0,498.0,39.5,3.1,9.0,54.7961,7.4,0.0,0.0,2.5959969,146.3099,78.19696,1018.2016
2024-12-04T14:00,13.6,13.2,389.0,503.0,39.4,3.0,7.0,54.680847,7.35,0.0,0.0,1.2979984,146.3099,77.368515,1018.4002
2024-12-04T15:00,14.3,13.8,432.0,507.0,38.6,3.0,9.0,54.636528,7.2,0.0,0.0,1.1384199,161.56496,77.07242,1018.59717
2024-12-04T16:00,15.8,15.4,481.0,510.0,37.2,3.5,15.0,54.618793,8.4,0.0,0.0,0.9,180.0,76.727425,1018.9136
2024-12-04T17:00,13.0,12.6,533.0,511.0,35.3,4.1,24.0,54.601063,10.45,0.0,0.0,1.7076298,251.56496,72.41938,1019.1421
2024-12-04T18:00,9.2,8.8,556.0,511.0,32.1,4.7,35.0,54.47695,12.15,0.0,0.0,1.1384199,251.56496,71.50077,1019.36566
2024-12-04T19:00,5.6,5.2,523.0,507.0,25.8,4.9,50.0,54.343975,13.65,0.0,0.0,1.5273507,315.0001,68.92282,1019.18744
2024-12-04T20:00,5.0,4.7,462.0,501.0,18.2,5.0,67.0,54.255318,15.25,0.0,0.0,1.6981165,327.99466,63.21758,1018.71155
2024-12-04T21:00,5.1,4.7,427.0,497.0,15.0,5.2,76.0,54.184402,16.45,0.0,0.0,2.7534704,258.6901,59.550446,1018.13043
2024-12-04T22:00,5.7,5.4,434.0,496.0,19.1,5.6,70.0,54.086884,16.75,0.0,0.0,3.604497,272.86234,60.22936,1017.8357
2024-12-04T23:00,7.3,6.9,468.0,497.0,27.4,6.2,56.0,53.9805,16.75,0.0,0.0,2.4482646,252.89719,61.458706,1017.6365
2024-12-05T00:00,7.3,7.1,537.0,505.0,27.6,5.2,49.0,53.89184,15.5,0.0,0.0,2.9522195,232.43134,71.64788,1017.81854
2024-12-05T01:00,11.9,11.5,687.0,527.0,38.9,5.9,35.0,54.148937,13.75,0.0,0.0,0.56920993,161.56496,74.01496,1017.79425
2024-12-05T02:00,18.2,17.6,873.0,554.0,54.3,6.9,15.0,54.441494,13.25,0.0,0.0,0.742159,104.03627,75.69456,1018.1857
2024-12-05T03:00,22.8,21.9,969.0,570.0,65.1,7.7,1.0,54.76951,12.55,0.0,0.0,1.8,180.0,77.38992,1018.57416
2024-12-05T04:00,25.0,23.9,896.0,562.0,67.0,8.3,0.0,55.070923,11.75,0.0,94.0,2.0124612,153.43501,78.855354,1018.76227
2024-12-05T05:00,25.7,24.6,734.0,543.0,64.2,8.7,0.0,55.301414,11.1,0.0,98.0,3.381893,154.7989,80.11208,1018.6534
2024-12-05T06:00,26.3,25.1,596.0,525.0,60.8,8.8,1.0,55.47872,11.0,0.0,97.0,1.6199999,180.0,78.20792,1018.75165
2024-12-05T07:00,26.5,25.4,527.0,515.0,57.4,8.2,3.0,55.647163,10.75,0.0,100.0,1.1525624,51.34017,77.90258,1019.34576
2024-12-05T08:00,26.0,25.0,484.0,508.0,53.3,7.3,5.0,55.868797,10.3,0.0,100.0,2.9301877,190.6196,77.832924,1019.3391
2024-12-05T09:00,24.8,23.9,446.0,501.0,50.2,6.7,7.0,56.161343,10.0,0.0,97.0,2.3469129,147.52882,78.86478,1018.73737
2024-12-05T10:00,22.6,21.9,404.0,494.0,49.0,6.6,9.0,56.498222,9.85,0.0,100.0,1.26,180.0,78.30104,1019.1335
2024-12-05T11:00,20.6,20.0,369.0,489.0,48.9,6.9,11.0,56.799644,9.85,0.0,100.0,2.1749482,114.44395,76.69662,1019.53186
2024-12-05T12:00,17.6,17.2,353.0,486.0,47.0,3.8,12.0,57.083332,9.6,0.0,100.0,2.7059932,183.814,76.921776,1019.13
2024-12-05T13:00,16.1,15.7,361.0,486.0,46.8,3.6,11.0,57.251774,9.05,0.0,99.0,3.4152596,161.56496,80.097206,1018.7236
